symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2018-07-09 04:00:00+00:00,276.55,277.96,276.5,277.9,51878754.0,212825.0,277.393964
SPY,2018-07-10 04:00:00+00:00,278.41,279.01,278.08,278.81,53080928.0,207662.0,278.652677
SPY,2018-07-11 04:00:00+00:00,277.15,278.04,276.52,276.91,78467076.0,300427.0,277.234063
SPY,2018-07-12 04:00:00+00:00,278.28,279.43,277.6,279.29,62854200.0,236261.0,278.852523
SPY,2018-07-13 04:00:00+00:00,279.17,279.93,278.66,279.56,49301251.0,206063.0,279.52994
SPY,2018-07-16 04:00:00+00:00,279.64,279.803,278.84,279.39,50880262.0,177349.0,279.302087
SPY,2018-07-17 04:00:00+00:00,278.47,280.91,278.41,280.43,53362867.0,216883.0,280.070943
SPY,2018-07-18 04:00:00+00:00,280.56,281.18,280.06,281.06,45293969.0,169751.0,280.795272
